[2025-04-14T06:04:26.141+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_comment_pipeline_us_stocks_daily.collect_comments scheduled__2025-04-12T00:00:00+00:00 [queued]>
[2025-04-14T06:04:26.144+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_comment_pipeline_us_stocks_daily.collect_comments scheduled__2025-04-12T00:00:00+00:00 [queued]>
[2025-04-14T06:04:26.144+0000] {taskinstance.py:2170} INFO - Starting attempt 3 of 3
[2025-04-14T06:04:26.148+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): collect_comments> on 2025-04-12 00:00:00+00:00
[2025-04-14T06:04:26.150+0000] {standard_task_runner.py:60} INFO - Started process 2756 to run task
[2025-04-14T06:04:26.151+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'youtube_comment_pipeline_us_stocks_daily', 'collect_comments', 'scheduled__2025-04-12T00:00:00+00:00', '--job-id', '409', '--raw', '--subdir', 'DAGS_FOLDER/youtube_comment_pipeline.py', '--cfg-path', '/tmp/tmpstz1uvwo']
[2025-04-14T06:04:26.152+0000] {standard_task_runner.py:88} INFO - Job 409: Subtask collect_comments
[2025-04-14T06:04:26.169+0000] {task_command.py:423} INFO - Running <TaskInstance: youtube_comment_pipeline_us_stocks_daily.collect_comments scheduled__2025-04-12T00:00:00+00:00 [running]> on host 9d8a82da5923
[2025-04-14T06:04:26.200+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='youtube_comment_pipeline_us_stocks_daily' AIRFLOW_CTX_TASK_ID='collect_comments' AIRFLOW_CTX_EXECUTION_DATE='2025-04-12T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='3' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-04-12T00:00:00+00:00'
[2025-04-14T06:04:26.206+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.8/site-packages/***/utils/context.py:315 AirflowContextDeprecationWarning: Accessing 'execution_date' from the template is deprecated and will be removed in a future version. Please use 'data_interval_start' or 'logical_date' instead.
[2025-04-14T06:04:26.650+0000] {logging_mixin.py:188} INFO - 2025-04-14 03:37:10+00:00 2025-04-11 00:00:00+00:00 2025-04-12 00:00:00+00:00
[2025-04-14T06:04:26.651+0000] {logging_mixin.py:188} INFO - 2025-04-14 00:34:50+00:00 2025-04-11 00:00:00+00:00 2025-04-12 00:00:00+00:00
[2025-04-14T06:04:26.652+0000] {logging_mixin.py:188} INFO - 2025-04-13 02:52:15+00:00 2025-04-11 00:00:00+00:00 2025-04-12 00:00:00+00:00
[2025-04-14T06:04:26.652+0000] {logging_mixin.py:188} INFO - 2025-04-13 02:50:36+00:00 2025-04-11 00:00:00+00:00 2025-04-12 00:00:00+00:00
[2025-04-14T06:04:26.652+0000] {logging_mixin.py:188} INFO - 2025-04-13 02:49:29+00:00 2025-04-11 00:00:00+00:00 2025-04-12 00:00:00+00:00
[2025-04-14T06:04:26.653+0000] {logging_mixin.py:188} INFO - 2025-04-12 20:40:08+00:00 2025-04-11 00:00:00+00:00 2025-04-12 00:00:00+00:00
[2025-04-14T06:04:26.653+0000] {logging_mixin.py:188} INFO - 2025-04-12 15:08:11+00:00 2025-04-11 00:00:00+00:00 2025-04-12 00:00:00+00:00
[2025-04-14T06:04:26.653+0000] {logging_mixin.py:188} INFO - 2025-04-11 13:31:23+00:00 2025-04-11 00:00:00+00:00 2025-04-12 00:00:00+00:00
[2025-04-14T06:04:26.653+0000] {logging_mixin.py:188} INFO - 2025-04-10 15:42:13+00:00 2025-04-11 00:00:00+00:00 2025-04-12 00:00:00+00:00
